Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18,Maschi,308834,301442,298093,290868,288892,301680,300965,307832,308168,311417,302650,297615,294502,295461,295551,299947,302995,306068,298000,292774,295158,304193,304333
18,Femmine,292943,286613,283976,275284,271940,283555,283930,290183,288974,292707,283674,278194,274399,275267,275171,275422,276335,280805,276707,273389,274550,282146,279127
18,Totale,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,583460
19,Maschi,320091,308961,303438,299618,292517,291544,306687,305747,311855,311455,314313,304931,299027,296196,298107,301274,310352,307554,308381,299358,294218,300052,309963
19,Femmine,306107,293657,288369,285877,277242,274802,288143,288569,294029,292408,295815,286467,280140,275871,276507,276264,276933,277981,282363,276924,273072,277103,283627
19,Totale,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,593590
20,Maschi,323918,319517,311416,305238,299972,293109,296922,311275,309326,314447,313724,316728,306062,300146,297986,302504,307475,313559,308189,309949,299483,298116,304996
20,Femmine,311733,306653,295905,290718,287896,279226,281136,294037,293154,298129,295950,299047,288638,281729,277203,277669,277991,278559,279269,282960,276153,275666,278991
20,Totale,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583987
21,Maschi,331241,323067,322643,313582,305731,300411,298392,302270,314703,312378,316870,316248,318057,306613,301681,302060,307927,310367,313182,308471,307995,303004,302673
21,Femmine,319016,312238,309940,298673,293343,290424,285748,288167,299503,298164,301848,299672,301664,290228,282973,278394,279695,279760,279835,279574,280508,278844,277626
21,Totale,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,580299
22,Maschi,341392,330570,326997,325576,314109,306548,306272,303779,306044,318409,315265,319945,317846,319072,307779,304489,306012,310066,309970,313052,306585,311847,306574
22,Femmine,330636,320051,316389,313648,301605,296571,298399,292740,294223,305411,302850,306046,302634,303644,291652,284180,280254,281529,281029,280705,276923,283874,280348
22,Totale,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,586922
23,Maschi,359526,341334,336136,330791,326336,315034,312976,312198,307650,310614,321878,318710,322142,318700,320541,310158,307961,308282,309688,309342,310871,310412,315925
23,Femmine,348868,332575,325371,320757,316881,305090,305284,305944,298617,300985,310649,307613,309559,304910,305212,293110,286044,282222,283094,281499,277904,280399,285778
23,Totale,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,601703
24,Maschi,372477,360179,348128,340859,331410,327016,321290,319389,316142,311672,314270,325955,321559,323485,320083,323099,312942,310034,307991,308686,307450,314704,314636
24,Femmine,364365,351576,339312,330586,324000,320268,313449,313318,312002,304822,306373,315750,311394,311741,306323,306521,294761,287929,283641,283102,279469,281478,282812
24,Totale,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,597448
25,Maschi,393202,373898,368230,354414,341988,332003,333347,327373,323523,320881,315208,318445,328699,322677,325190,321959,325985,314552,309378,306234,307226,311008,319013
25,Femmine,385996,367279,359612,345460,334113,327362,329088,321096,319476,318319,310013,311340,319720,313495,313102,307576,308048,295813,289242,282947,281322,282940,283771
25,Totale,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,602784
26,Maschi,417331,394884,382877,375540,356109,342606,338213,338931,331355,328163,324679,319702,321492,329811,324163,328131,323901,327377,313758,306729,304818,310911,314881
26,Femmine,411288,389186,376002,366759,349992,337644,336031,336787,326861,325924,323551,314871,315090,321616,314741,314305,308621,309013,296568,287493,281629,284846,285002
26,Totale,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,599883
27,Maschi,435484,419024,404474,390856,377710,356968,349221,343501,342322,335702,332068,329253,322889,322598,331241,326046,330565,325160,326635,310129,306056,308660,314955
27,Femmine,429526,414434,398072,383265,371599,353846,346436,343127,341941,332502,330562,328049,318142,316685,322703,315961,315371,309439,310107,294211,286744,285302,287166
27,Totale,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,602121
28,Maschi,437208,437850,428659,412893,393742,379164,363503,354598,346191,346365,339719,336685,332483,323838,324127,333278,327464,331737,324590,323025,309781,309963,312534
28,Femmine,432426,433779,424542,407051,389662,376888,364074,354893,348499,347581,337857,334549,330807,319565,317728,323900,317051,315976,310423,307046,293909,290555,287713
28,Totale,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,600247
29,Maschi,444829,439903,448424,437439,416459,395887,386180,368829,357640,349372,349950,344069,339593,333465,325440,325867,334849,328580,331083,320148,322737,313746,314071
29,Femmine,438839,435836,442804,431387,411811,393743,385870,370944,358789,352563,351057,341492,337225,331866,320351,318828,324785,317952,316710,307617,307123,297739,293105
29,Totale,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,607176
30,Maschi,452979,448219,450364,458047,441351,419203,403625,392519,371641,361153,353336,354403,346790,340419,334869,327139,327100,336140,328034,327009,320462,326788,317807
30,Femmine,447945,442410,444881,450310,435936,415645,402587,393133,374959,362433,355580,354538,343940,338119,332477,321317,319536,325542,318718,313564,307805,311199,300228
30,Totale,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,618035
31,Maschi,448928,455203,456859,457801,461266,442601,425683,408717,394633,373974,363126,357437,357333,347571,341615,336419,328389,328519,335493,323860,327385,324287,330824
31,Femmine,444238,450846,449922,450376,453706,438260,422915,407674,396477,377856,364182,358875,356746,344702,338566,333056,322059,320439,326158,315642,314003,311646,313830
31,Totale,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,644654
32,Maschi,463220,451136,462571,463228,459777,462439,447933,429624,410191,396521,375143,367257,360006,358021,348424,342831,337325,329625,327947,331960,324501,331268,327835
