Età,Anno,Totale maschi,Totale femmine,Totale
37,1986,413530,416658,830188
38,1986,408124,410509,818633
39,1986,413041,416735,829776
40,1986,322225,325759,647984
41,1986,334053,337938,671991
42,1986,339958,346342,686300
43,1986,341869,349652,691521
44,1986,346501,354399,700900
45,1986,383779,395030,778809
46,1986,382569,392511,775080
47,1986,375348,386879,762227
48,1986,351784,363829,715613
49,1986,337347,352659,690006
50,1986,348906,364078,712984
51,1986,343726,359845,703571
52,1986,341370,357795,699165
53,1986,333471,354546,688017
54,1986,340504,361649,702153
55,1986,355748,381089,736837
56,1986,328639,353317,681956
57,1986,328087,354818,682905
58,1986,326407,356779,683186
59,1986,317681,353498,671179
60,1986,311436,350959,662395
61,1986,304265,348382,652647
62,1986,299397,349000,648397
63,1986,285167,348280,633447
64,1986,278011,341931,619942
65,1986,274557,340826,615383
66,1986,176525,220094,396619
67,1986,133599,170521,304120
68,1986,139989,176167,316156
69,1986,170428,219079,389507
70,1986,208877,272297,481174
71,1986,209267,276323,485590
72,1986,204958,274557,479515
73,1986,197393,268466,465859
74,1986,173483,245591,419074
75,1986,168721,242229,410950
76,1986,147585,219280,366865
77,1986,135210,208818,344028
78,1986,112751,181878,294629
79,1986,101118,169709,270827
80,1986,88069,152282,240351
81,1986,75033,138158,213191
82,1986,61365,117319,178684
83,1986,55147,108222,163369
84,1986,43984,92409,136393
85,1986,153995,368872,522867
99,1986,27500167,29097656,56597823
0,1987,286270,270168,556438
1,1987,297482,282784,580266
2,1987,300403,285287,585690
3,1987,307433,291426,598859
4,1987,316230,301830,618060
5,1987,315794,300893,616687
6,1987,323783,308236,632019
7,1987,337475,321862,659337
8,1987,358911,342656,701567
9,1987,373035,357207,730242
10,1987,393972,377279,771251
11,1987,417374,400331,817705
12,1987,438141,419725,857866
13,1987,440278,422298,862576
14,1987,448452,427300,875752
15,1987,457748,436432,894180
16,1987,452078,432791,884869
17,1987,465837,447891,913728
18,1987,460843,443156,903999
19,1987,466539,451254,917793
20,1987,479818,465517,945335
21,1987,481066,467347,948413
22,1987,490323,475603,965926
23,1987,460084,449096,909180
24,1987,444709,436222,880931
25,1987,440773,431607,872380
26,1987,424522,417215,841737
27,1987,416661,409089,825750
28,1987,398313,394739,793052
29,1987,397196,394237,791433
30,1987,392132,391249,783381
31,1987,386406,385905,772311
32,1987,383372,385568,768940
33,1987,369061,368336,737397
34,1987,367312,369425,736737
35,1987,369344,371129,740473
36,1987,385754,388212,773966
37,1987,391135,393419,784554
38,1987,412773,416136,828909
39,1987,407374,409907,817281
40,1987,412133,416230,828363
41,1987,321597,325351,646948
42,1987,333203,337430,670633
43,1987,338932,345685,684617
44,1987,340899,349046,689945
45,1987,345424,353786,699210
46,1987,382424,394179,776603
47,1987,381192,391438,772630
48,1987,373796,385770,759566
49,1987,350128,362728,712856
50,1987,335508,351648,687156
51,1987,346920,362951,709871
52,1987,341614,358613,700227
53,1987,339041,356459,695500
54,1987,330963,353159,684122
55,1987,337497,359972,697469
56,1987,352250,379278,731528
57,1987,325010,351309,676319
58,1987,324133,352647,676780
59,1987,322075,354519,676594
60,1987,312845,351136,663981
61,1987,306429,348302,654731
62,1987,298945,345368,644313
63,1987,293566,345821,639387
64,1987,279460,344686,624146
65,1987,271616,338054,609670
66,1987,267674,336325,603999
67,1987,171472,216829,388301
68,1987,129462,167609,297071
69,1987,135310,173056,308366
70,1987,164426,214956,379382
71,1987,200749,266345,467094
72,1987,200482,269630,470112
73,1987,195432,267046,462478
74,1987,187105,260327,447432
75,1987,163709,237461,401170
76,1987,158247,233131,391378
77,1987,137571,209994,347565
78,1987,124912,198627,323539
79,1987,103286,171959,275245
80,1987,91424,159480,250904
81,1987,79054,141691,220745
82,1987,66489,127467,193956
83,1987,53770,106959,160729
