Età,Sesso,Anno,Totale
82,Femmine,2003,219408
83,Maschi,2003,70850
83,Femmine,2003,133133
84,Maschi,2003,48660
84,Femmine,2003,94892
85,Maschi,2003,45434
85,Femmine,2003,91165
86,Maschi,2003,50189
86,Femmine,2003,104160
87,Maschi,2003,54627
87,Femmine,2003,118198
88,Maschi,2003,47420
88,Femmine,2003,105238
89,Maschi,2003,40424
89,Femmine,2003,91227
9,Maschi,2003,278853
9,Femmine,2003,264414
90,Maschi,2003,32581
90,Femmine,2003,79856
91,Maschi,2003,23915
91,Femmine,2003,63138
92,Maschi,2003,18639
92,Femmine,2003,51320
93,Maschi,2003,12293
93,Femmine,2003,37424
94,Maschi,2003,8472
94,Femmine,2003,28133
95,Maschi,2003,5312
95,Femmine,2003,18999
96,Maschi,2003,3718
96,Femmine,2003,13536
97,Maschi,2003,2386
97,Femmine,2003,9411
98,Maschi,2003,1406
98,Femmine,2003,6237
99,Maschi,2003,867
99,Femmine,2003,3835
0,Maschi,2004,278646
0,Femmine,2004,263677
1,Maschi,2004,276225
1,Femmine,2004,261795
10,Maschi,2004,280940
10,Femmine,2004,266114
11,Maschi,2004,292147
11,Femmine,2004,277352
12,Maschi,2004,293603
12,Femmine,2004,277577
13,Maschi,2004,295636
13,Femmine,2004,280467
14,Maschi,2004,290590
14,Femmine,2004,276020
15,Maschi,2004,293625
15,Femmine,2004,277257
16,Maschi,2004,282748
16,Femmine,2004,267161
17,Maschi,2004,288237
17,Femmine,2004,273276
18,Maschi,2004,298093
18,Femmine,2004,283976
19,Maschi,2004,303438
19,Femmine,2004,288369
2,Maschi,2004,272492
2,Femmine,2004,258551
20,Maschi,2004,311416
20,Femmine,2004,295905
21,Maschi,2004,322643
21,Femmine,2004,309940
22,Maschi,2004,326997
22,Femmine,2004,316389
23,Maschi,2004,336136
23,Femmine,2004,325371
24,Maschi,2004,348128
24,Femmine,2004,339312
25,Maschi,2004,368230
25,Femmine,2004,359612
26,Maschi,2004,382877
26,Femmine,2004,376002
27,Maschi,2004,404474
27,Femmine,2004,398072
28,Maschi,2004,428659
28,Femmine,2004,424542
29,Maschi,2004,448424
29,Femmine,2004,442804
3,Maschi,2004,276432
3,Femmine,2004,261075
30,Maschi,2004,450364
30,Femmine,2004,444881
31,Maschi,2004,456859
31,Femmine,2004,449922
32,Maschi,2004,462571
32,Femmine,2004,456185
33,Maschi,2004,457971
33,Femmine,2004,451459
34,Maschi,2004,469602
34,Femmine,2004,468564
35,Maschi,2004,463072
35,Femmine,2004,462766
36,Maschi,2004,468023
36,Femmine,2004,465602
37,Maschi,2004,482495
37,Femmine,2004,478432
38,Maschi,2004,481752
38,Femmine,2004,478694
39,Maschi,2004,487346
39,Femmine,2004,484752
4,Maschi,2004,273990
4,Femmine,2004,260074
40,Maschi,2004,457723
40,Femmine,2004,459547
41,Maschi,2004,443012
41,Femmine,2004,446588
42,Maschi,2004,435760
42,Femmine,2004,440128
43,Maschi,2004,421790
43,Femmine,2004,427543
44,Maschi,2004,412856
44,Femmine,2004,416218
45,Maschi,2004,394084
45,Femmine,2004,399170
46,Maschi,2004,390153
46,Femmine,2004,395790
47,Maschi,2004,385739
47,Femmine,2004,393117
48,Maschi,2004,379828
48,Femmine,2004,388804
49,Maschi,2004,374653
49,Femmine,2004,385857
5,Maschi,2004,271068
5,Femmine,2004,255691
50,Maschi,2004,360668
50,Femmine,2004,369278
51,Maschi,2004,357415
51,Femmine,2004,369567
52,Maschi,2004,357542
52,Femmine,2004,371308
53,Maschi,2004,372660
53,Femmine,2004,387108
54,Maschi,2004,375286
54,Femmine,2004,387904
55,Maschi,2004,392493
55,Femmine,2004,406848
56,Maschi,2004,384614
56,Femmine,2004,398449
57,Maschi,2004,385746
57,Femmine,2004,403026
58,Maschi,2004,300793
58,Femmine,2004,316320
59,Maschi,2004,308524
59,Femmine,2004,326114
6,Maschi,2004,269528
6,Femmine,2004,254912
60,Maschi,2004,311934
60,Femmine,2004,333825
61,Maschi,2004,310251
61,Femmine,2004,335319
62,Maschi,2004,312485
62,Femmine,2004,340670
63,Maschi,2004,343399
63,Femmine,2004,377030
64,Maschi,2004,338754
64,Femmine,2004,371531
65,Maschi,2004,327434
65,Femmine,2004,362478
66,Maschi,2004,301424
66,Femmine,2004,337787
67,Maschi,2004,284153
67,Femmine,2004,325670
68,Maschi,2004,289320
68,Femmine,2004,334836
69,Maschi,2004,277868
69,Femmine,2004,327241
7,Maschi,2004,272244
7,Femmine,2004,257186
70,Maschi,2004,268910
70,Femmine,2004,321349
71,Maschi,2004,255734
71,Femmine,2004,315206
72,Maschi,2004,252750
72,Femmine,2004,318217
73,Maschi,2004,254691
73,Femmine,2004,329365
74,Maschi,2004,226546
74,Femmine,2004,299420
75,Maschi,2004,215526
75,Femmine,2004,293746
76,Maschi,2004,205374
76,Femmine,2004,286665
77,Maschi,2004,189198
77,Femmine,2004,276807
78,Maschi,2004,176881
78,Femmine,2004,268535
79,Maschi,2004,163588
79,Femmine,2004,256538
8,Maschi,2004,271960
8,Femmine,2004,256652
80,Maschi,2004,148236
80,Femmine,2004,248691
81,Maschi,2004,133013
81,Femmine,2004,237164
82,Maschi,2004,118645
82,Femmine,2004,223016
83,Maschi,2004,103118
83,Femmine,2004,207775
84,Maschi,2004,63598
84,Femmine,2004,124334
85,Maschi,2004,43065
85,Femmine,2004,87596
86,Maschi,2004,39566
86,Femmine,2004,83029
87,Maschi,2004,42904
87,Femmine,2004,93491
88,Maschi,2004,46042
88,Femmine,2004,103055
89,Maschi,2004,39049
89,Femmine,2004,88777
9,Maschi,2004,273769
9,Femmine,2004,258991
90,Maschi,2004,32661
90,Femmine,2004,77057
91,Maschi,2004,25684
91,Femmine,2004,66372
92,Maschi,2004,18343
92,Femmine,2004,51390
93,Maschi,2004,14038
93,Femmine,2004,40661
94,Maschi,2004,8989
94,Femmine,2004,28824
95,Maschi,2004,5973
95,Femmine,2004,20981
96,Maschi,2004,3605
96,Femmine,2004,13889
97,Maschi,2004,2461
97,Femmine,2004,9519
98,Maschi,2004,1531
98,Femmine,2004,6370
99,Maschi,2004,891
99,Femmine,2004,4080
0,Maschi,2005,286668
0,Femmine,2005,271832
1,Maschi,2005,280318
1,Femmine,2005,265278
10,Maschi,2005,276572
10,Femmine,2005,261384
11,Maschi,2005,283426
11,Femmine,2005,268196
12,Maschi,2005,294367
12,Femmine,2005,279228
13,Maschi,2005,295477
13,Femmine,2005,279174
14,Maschi,2005,297175
14,Femmine,2005,281817
15,Maschi,2005,292249
15,Femmine,2005,277460
16,Maschi,2005,295661
16,Femmine,2005,278906
17,Maschi,2005,285199
17,Femmine,2005,269013
18,Maschi,2005,290868
18,Femmine,2005,275284
19,Maschi,2005,299618
19,Femmine,2005,285877
2,Maschi,2005,277714
2,Femmine,2005,263146
20,Maschi,2005,305238
20,Femmine,2005,290718
21,Maschi,2005,313582
21,Femmine,2005,298673
22,Maschi,2005,325576
