Età,Sesso,2020,2021,2022,2023,2024
76,Maschi,239378,236450,227616,294157,294064
76,Femmine,291246,284553,272894,350711,347927
76,Totale,530624,521003,500510,644868,641991
77,Maschi,231750,230615,227767,219562,284834
77,Femmine,286596,285333,278056,267324,343900
77,Totale,518346,515948,505823,486886,628734
78,Maschi,225808,222215,221025,218972,211931
78,Femmine,285508,279972,278075,271655,261173
78,Totale,511316,502187,499100,490627,473104
79,Maschi,240020,215706,211994,211468,210342
79,Femmine,309824,277958,271851,270587,264845
79,Totale,549844,493664,483845,482055,475187
8,Maschi,276769,273619,263845,261164,255000
8,Femmine,261133,258440,249119,246566,240818
8,Totale,537902,532059,512964,507730,495818
80,Maschi,227517,227503,204923,201754,202021
80,Femmine,298567,300257,269090,263597,262650
80,Totale,526084,527760,474013,465351,464671
81,Maschi,209720,214560,214994,193892,191608
81,Femmine,284151,288098,289391,259877,254887
81,Totale,493871,502658,504385,453769,446495
82,Maschi,183104,195982,201163,201752,182933
82,Femmine,255966,272579,276268,277832,250132
82,Totale,439070,468561,477431,479584,433065
83,Maschi,159380,169321,182174,187379,188829
83,Femmine,233554,243701,259546,263599,265675
83,Totale,392934,413022,441720,450978,454504
84,Maschi,151066,145752,156136,167906,174057
84,Femmine,228511,220210,230238,245636,250543
84,Totale,379577,365962,386374,413542,424600
85,Maschi,132945,136315,132632,142357,154318
85,Femmine,211312,213540,206074,215951,231568
85,Totale,344257,349855,338706,358308,385886
86,Maschi,115967,118356,122383,119118,129310
86,Femmine,192830,195261,197860,190900,201391
86,Totale,308797,313617,320243,310018,330701
87,Maschi,98570,101657,104653,108115,106580
87,Femmine,174836,175772,178743,180952,175795
87,Totale,273406,277429,283396,289067,282375
88,Maschi,85751,84718,88175,90989,95175
88,Femmine,159752,157267,158660,160844,164400
88,Totale,245503,241985,246835,251833,259575
89,Maschi,74576,72167,72142,74831,78602
89,Femmine,150085,141049,139930,140419,144433
89,Totale,224661,213216,212072,215250,223035
9,Maschi,285537,278649,275299,264925,262545
9,Femmine,268609,262846,259960,250184,247842
9,Totale,554146,541495,535259,515109,510387
90,Maschi,56540,61359,60361,59756,63218
90,Femmine,121480,130133,123386,121773,123444
90,Totale,178020,191492,183747,181529,186662
91,Maschi,44385,45462,50024,48855,49543
91,Femmine,103848,103024,111473,104919,105054
91,Totale,148233,148486,161497,153774,154597
92,Maschi,34603,34525,36098,39332,39224
92,Femmine,86770,85660,86552,92832,88811
92,Totale,121373,120185,122650,132164,128035
93,Maschi,25393,26278,26727,27464,30701
93,Femmine,69890,70004,70213,70257,76769
93,Totale,95283,96282,96940,97721,107470
94,Maschi,18209,18570,19723,19574,20854
94,Femmine,55242,54643,55782,55020,56482
94,Totale,73451,73213,75505,74594,77336
95,Maschi,13171,12913,13473,13952,14421
95,Femmine,42478,41947,42582,42500,43022
95,Totale,55649,54860,56055,56452,57443
96,Maschi,9311,9066,9083,9180,9933
96,Femmine,32136,31227,31719,31452,32104
96,Totale,41447,40293,40802,40632,42037
97,Maschi,6123,6167,6196,5879,6340
97,Femmine,23179,22849,22975,22541,23031
97,Totale,29302,29016,29171,28420,29371
98,Maschi,4007,3998,4117,4000,3950
98,Femmine,16553,16115,16411,15836,16264
98,Totale,20560,20113,20528,19836,20214
99,Maschi,2529,2526,2571,2528,2659
99,Femmine,10892,11109,11171,10875,11180
99,Totale,13421,13635,13742,13403,13839
Totale,Maschi,29050096,28866226,28818956,28814832,28846728
Totale,Femmine,30591392,30369987,30211177,30182369,30124502
Totale,Totale,59641488,59236213,59030133,58997201,58971230
