Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
26,Femmine,411288,389186,376002,366759,349992,337644,336031,336787,326861,325924,323551,314871,315090,321616,314741,314305,308621,309013,296568,287493,281629,284846,285002,288234,294509,297726,297882,301112,307388
27,Maschi,435484,419024,404474,390856,377710,356968,349221,343501,342322,335702,332068,329253,322889,322598,331241,326046,330565,325160,326635,310129,306056,308660,314955,301484,300406,303010,309305,295833,294755
27,Femmine,429526,414434,398072,383265,371599,353846,346436,343127,341941,332502,330562,328049,318142,316685,322703,315961,315371,309439,310107,294211,286744,285302,287166,273146,268375,266933,268797,254774,250003
28,Maschi,437208,437850,428659,412893,393742,379164,363503,354598,346191,346365,339719,336685,332483,323838,324127,333278,327464,331737,324590,323025,309781,309963,312534,321281,319019,319201,321772,330518,328256
28,Femmine,432426,433779,424542,407051,389662,376888,364074,354893,348499,347581,337857,334549,330807,319565,317728,323900,317051,315976,310423,307046,293909,290555,287713,289213,285389,282035,279193,280694,276870
29,Maschi,444829,439903,448424,437439,416459,395887,386180,368829,357640,349372,349950,344069,339593,333465,325440,325867,334849,328580,331083,320148,322737,313746,314071,297159,291214,286771,283834,267814,261869
29,Femmine,438839,435836,442804,431387,411811,393743,385870,370944,358789,352563,351057,341492,337225,331866,320351,318828,324785,317952,316710,307617,307123,297739,293105,271613,257485,248101,243467,221982,207854
30,Maschi,452979,448219,450364,458047,441351,419203,403625,392519,371641,361153,353336,354403,346790,340419,334869,327139,327100,336140,328034,327009,320462,326788,317807,319476,321088,319831,315698,316276,317888
30,Femmine,447945,442410,444881,450310,435936,415645,402587,393133,374959,362433,355580,354538,343940,338119,332477,321317,319536,325542,318718,313564,307805,311199,300228,294855,293737,290031,283731,277249,276131
31,Maschi,448928,455203,456859,457801,461266,442601,425683,408717,394633,373974,363126,357437,357333,347571,341615,336419,328389,328519,335493,323860,327385,324287,330824,315265,312962,313661,317366,302609,300306
31,Femmine,444238,450846,449922,450376,453706,438260,422915,407674,396477,377856,364182,358875,356746,344702,338566,333056,322059,320439,326158,315642,314003,311646,313830,299165,292263,289906,292090,277423,270520
32,Maschi,463220,451136,462571,463228,459777,462439,447933,429624,410191,396521,375143,367257,360006,358021,348424,342831,337325,329625,327947,331960,324501,331268,327835,334062,333531,333675,334489,339709,339178
32,Femmine,458147,445597,456185,453289,451659,454605,443171,425910,409155,398293,378094,367062,360870,357517,345034,339055,333392,322805,321148,323448,315916,317678,314038,317926,314250,312022,311237,314330,310654
33,Maschi,456815,465028,457971,468201,464904,460224,467245,450765,430306,411439,396956,379047,369914,360733,359018,349257,343520,338601,329109,324988,333154,327973,335148,330315,334896,336919,336386,334628,339209
33,Femmine,451097,461043,451459,460369,455407,453181,460251,446335,427759,411244,398956,380746,368913,361340,357812,345399,339536,333935,323293,318664,323709,319514,320205,321570,324110,324046,321385,323826,326366
34,Maschi,459019,457385,469602,460899,467438,463331,462096,467613,449387,430001,410140,400364,381638,370525,361522,359915,349656,344688,338166,326070,325923,336528,331675,325334,334729,339147,338578,331150,340545
34,Femmine,455802,456301,468564,457946,464536,459122,460656,466356,449988,431702,414062,401537,382576,369258,361456,358124,345759,340206,334375,320941,318791,327242,321747,312696,318717,321079,319772,309654,315675
35,Maschi,473799,460877,463072,474151,462075,467274,466632,463724,467616,449630,429620,413265,402746,382058,371593,362128,360505,350654,344557,335245,327214,329133,340250,336520,329247,331166,342283,338541,331268
35,Femmine,470041,458942,462766,473035,460582,466619,465106,465006,469274,452898,432952,416407,403282,383052,369416,361717,358356,346311,340457,332033,321096,322167,329595,329303,324009,325080,332508,332217,326923
36,Maschi,474668,477416,468023,470096,477339,464434,472354,470520,465586,469717,451155,432642,415455,403200,382630,372475,362370,361816,350372,342289,336526,329835,332219,333751,317986,311295,313679,315213,299448
36,Femmine,471821,473160,465602,467856,475700,462788,472826,469704,468143,472411,454385,434977,417982,403526,383029,369437,361916,359005,346606,338839,332206,324401,324559,324625,308891,301086,301244,301306,285572
37,Maschi,481113,477485,482495,473727,472784,478937,469273,475456,471824,467035,470442,453647,434559,415673,403662,382784,372836,363353,361476,348579,343183,338960,332853,322976,320612,316389,310282,300404,298039
37,Femmine,477379,473605,478432,470176,470222,477430,468507,476920,472505,471097,473688,456409,436474,417966,403546,383077,369423,362537,359300,345027,338992,335336,326604,314747,316138,312482,303749,291898,293289
38,Maschi,452721,483036,481752,486243,475515,474035,482930,471977,476070,472523,467274,472710,455256,434593,416077,403876,382746,373968,363000,359901,349548,345431,341770,345973,341370,337253,333592,337795,333192
38,Femmine,453404,479357,478694,482275,472746,472148,483137,472621,479630,475467,472566,475622,457696,436564,417977,403454,383049,370021,362693,358229,345105,341933,337568,341374,339445,336273,331908,335713,333784
39,Maschi,438786,454341,487346,485593,487387,476746,478400,485635,473009,476753,472647,469243,474211,454973,434613,416128,403771,383565,373576,361515,361018,351542,347859,336625,333518,328370,321188,311066,307959
39,Femmine,440985,454837,484752,482353,484183,475018,478454,487118,475282,482354,476752,474352,476954,457831,436590,417703,403283,383503,370154,361595,357984,347925,343824,334606,328789,322378,315385,307064,301247
40,Maschi,432370,439998,457723,490976,486880,488108,480755,481082,486346,473709,476599,474635,470309,473835,454769,434372,415837,404602,383170,372215,362241,362798,353623,357382,367653,368210,359035,362788,373060
40,Femmine,435359,442069,459547,488695,484224,485635,481438,482952,489586,478147,483711,478572,475396,476897,457715,436419,417390,403489,383701,369202,361207,360668,349773,351897,361678,361139,350244,352373,362154
41,Maschi,418288,433225,443012,460659,492378,487497,490373,483131,482058,486811,473604,478236,475791,469871,473527,454456,433945,416373,403881,381514,372928,363755,364746,352533,333218,324044,325035,312825,293510
41,Femmine,422817,435946,446588,462906,490626,485734,489863,486025,486062,492373,479402,485550,479722,475376,476626,457395,436186,417606,403611,382824,369016,363732,362336,352839,343686,338402,337006,327508,318355
42,Maschi,409871,419136,435760,445520,461575,493251,489613,491825,483954,482861,486491,475248,479048,475287,469437,472913,453757,434347,415526,402265,382441,374326,365493,362896,355542,347427,338594,335999,328645
42,Femmine,411070,423380,440128,449790,464407,492444,490036,493135,489262,489361,493757,481085,486621,479818,475114,476278,457176,436238,417680,402664,382644,371342,365254,354080,337568,326266,320178,308997,292485
43,Maschi,391514,410671,421790,438022,446377,462179,495533,491003,491911,484452,482755,487731,475921,478441,474884,468875,472198,453871,433364,413967,403045,383399,375778,354725,340418,326821,313943,294656,280348
43,Femmine,393856,411876,427543,443048,450933,465487,496959,493334,495515,492624,491145,495378,482175,486782,479524,474618,475962,457197,436100,417088,402520,385004,372880,362729,339841,322325,310201,300045,277157
44,Maschi,387490,392243,412856,423870,438555,446767,463954,496971,491048,491850,484173,484038,488216,475327,477838,474374,468199,472267,453257,431541,414855,403869,384578,372184,369480,358494,339203,326810,324106
44,Femmine,390625,394841,416218,430326,443897,451975,469596,500571,495552,498202,494596,492747,496315,482280,486396,478948,474308,476041,457174,435290,417187,404671,386392,367954,361157,348641,330362,311922,305125
45,Maschi,383939,388256,394084,414488,424416,438494,448265,464929,497244,491111,491314,485085,484426,487372,474512,477057,473559,468310,471358,451779,432706,415445,405094,375757,351601,334340,323989,294656,270499
45,Femmine,389134,391550,399170,419149,431069,444451,455810,472798,503045,498246,499410,496062,493857,496417,481890,485881,478447,474216,475833,456301,435229,419171,406122,380714,361586,345528,332479,307071,287943
46,Maschi,378601,384351,390153,395662,414955,424553,439688,448893,464886,497280,490521,491914,485241,483508,486455,473526,476223,473273,467247,469477,452800,433164,416439,412264,389718,370082,353357,349187,326641
46,Femmine,385440,389609,395790,402090,420317,431844,448052,458766,474752,505896,499519,500496,497040,493744,496009,481415,485328,478371,474137,474653,456347,437072,420285,412719,390984,371709,354922,347354,325619
47,Maschi,373714,378853,385739,391635,395992,414912,425787,440118,448706,464579,496739,490987,491658,484199,482453,485398,472493,475915,472445,465176,470567,453026,433727,407887,392086,374545,355246,329407,313606
47,Femmine,382686,385681,393117,398808,403259,421228,435261,450822,460538,477191,507206,500493,500972,496971,493334,495362,480790,484958,477972,472837,474641,458033,438351,419559,405977,389369,369687,350901,337320
48,Maschi,360223,373916,379828,386663,392042,396063,416045,426319,439708,448104,463790,496794,490621,490430,483006,481428,484335,471964,474990,470361,466435,470558,453538,453303,453167,448939,440612,437085,436949
48,Femmine,366465,382940,388804,395331,399928,404105,424935,438019,452596,462956,478411,508165,500749,500680,496528,492690,494802,480428,484718,476386,473075,476322,459117,443877,444245,439707,430253,412173,412541
49,Maschi,357894,360227,374653,380393,386670,392193,396829,416395,425889,438935,447093,463707,496284,489330,489062,481861,480303,483524,470760,472664,471355,466458,470974,474592,460293,455396,459912,463530,449232
49,Femmine,367808,366647,385857,390794,396119,400913,407729,427813,439569,454693,464036,479248,508508,500229,500049,495995,492006,494321,480305,482867,476715,474728,477197,482037,475662,473675,476144,480980,474604
50,Maschi,358245,357512,360668,375107,380353,386436,392965,397045,415954,425185,438002,446959,463119,494798,487896,487824,480580,479538,482299,468171,473646,471103,466626,445448,444801,442258,437781,416604,415957
50,Femmine,370295,367501,369278,387726,391288,396592,404287,410535,429559,441620,455521,464796,479485,507939,499459,499262,495334,491414,494026,478082,483171,478132,475508,447201,439877,434838,432214,403902,396579
51,Maschi,373760,357837,357415,360983,374862,380016,386760,393165,396499,415185,424271,437670,446108,461668,493112,486370,486478,479659,478051,479429,469300,473237,471116,476766,473445,472524,473990,478606,475285
51,Femmine,386595,369751,369567,370766,388098,391722,399249,407180,412359,431636,442372,456235,464957,479116,506986,498679,498410,494767,490930,491151,478407,484471,478896,483310,479823,477981,477776,480796,477309
52,Maschi,376649,373104,357542,357060,360499,374289,380077,386619,392751,395693,414236,423741,436677,444572,459958,491565,484758,485399,478289,474659,480540,468571,473088,466563,466609,464628,460626,456957,457002
52,Femmine,386417,386000,371308,370502,370966,388358,394014,401415,409143,414395,432383,443104,456328,464282,478271,506056,497597,497603,494239,487595,491553,479621,485090,477062,474934,472852,470821,465013,462885
53,Maschi,394008,375899,372660,356991,356134,359774,374124,379743,385779,392077,394705,413569,422531,435068,442921,458371,489902,483386,483736,475015,475775,479794,468230,455178,459001,457504,450671,436061,439884
53,Femmine,405554,386387,387108,372136,370252,371017,390083,395775,402734,411259,415177,432864,443089,455881,463407,477327,504982,496845,497079,490597,487952,492654,479854,472196,473289,470775,464643,454660,455753
54,Maschi,386053,393241,375286,371915,356039,355056,359231,373443,378780,384671,391094,393806,412256,420784,433153,441100,456695,488422,481769,479767,476000,474908,479187,475189,468753,467661,471940,467935,461498
54,Femmine,397265,405584,387904,387512,371719,369884,372385,391588,396767,404190,411933,415553,432943,442327,454903,462369,476246,503941,496286,493209,490893,488974,492932,498501,490716,488797,492755,498312,490528
