Età,Totale maschi,Totale femmine,Totale,Anno
12,281462,265673,547135,2007
13,288104,272356,560460,2007
14,298835,283180,582015,2007
15,298832,282180,581012,2007
16,300870,284947,585817,2007
17,296764,280948,577712,2007
18,301680,283555,585235,2007
19,291544,274802,566346,2007
20,293109,279226,572335,2007
21,300411,290424,590835,2007
22,306548,296571,603119,2007
23,315034,305090,620124,2007
24,327016,320268,647284,2007
25,332003,327362,659365,2007
26,342606,337644,680250,2007
27,356968,353846,710814,2007
28,379164,376888,756052,2007
29,395887,393743,789630,2007
30,419203,415645,834848,2007
31,442601,438260,880861,2007
32,462439,454605,917044,2007
33,460224,453181,913405,2007
34,463331,459122,922453,2007
35,467274,466619,933893,2007
36,464434,462788,927222,2007
37,478937,477430,956367,2007
38,474035,472148,946183,2007
39,476746,475018,951764,2007
40,488108,485635,973743,2007
41,487497,485734,973231,2007
42,493251,492444,985695,2007
43,462179,465487,927666,2007
44,446767,451975,898742,2007
45,438494,444451,882945,2007
46,424553,431844,856397,2007
47,414912,421228,836140,2007
48,396063,404105,800168,2007
49,392193,400913,793106,2007
50,386436,396592,783028,2007
51,380016,391722,771738,2007
52,374289,388358,762647,2007
53,359774,371017,730791,2007
54,355056,369884,724940,2007
55,354803,371149,725952,2007
56,369328,386128,755456,2007
57,371721,388218,759939,2007
58,388384,407054,795438,2007
59,380597,398676,779273,2007
60,380949,402187,783136,2007
61,295240,314166,609406,2007
62,302549,324137,626686,2007
63,304824,331023,635847,2007
64,302330,331289,633619,2007
65,303552,336232,639784,2007
66,332664,371203,703867,2007
67,326901,366025,692926,2007
68,314914,356823,671737,2007
69,288608,332305,620913,2007
70,269358,317682,587040,2007
71,272415,325689,598104,2007
72,259950,317518,577468,2007
73,248837,310132,558969,2007
74,234543,302067,536610,2007
75,229293,302897,532190,2007
76,228663,311500,540163,2007
77,200616,281460,482076,2007
78,188203,274293,462496,2007
79,178794,265384,444178,2007
80,160877,252818,413695,2007
81,147084,241154,388238,2007
82,129904,227369,357273,2007
83,113418,215783,329201,2007
84,100431,202869,303300,2007
85,88176,184893,273069,2007
86,73670,164603,238273,2007
87,43676,97199,140875,2007
88,27997,65858,93855,2007
89,24918,60276,85194,2007
90,25460,64430,89890,2007
91,25690,66167,91857,2007
92,20481,55024,75505,2007
93,15945,44855,60800,2007
94,11716,36080,47796,2007
95,7690,25859,33549,2007
96,5490,18856,24346,2007
97,3218,12138,15356,2007
98,1869,8019,9888,2007
99,1048,4897,5945,2007
100 e oltre,1649,7473,9122,2007
Totale,28354758,30155967,58510725,2007
0,288756,271944,560700,2008
1,288524,271504,560028,2008
2,286884,269262,556146,2008
3,289244,273756,563000,2008
4,285321,269433,554754,2008
5,282742,267184,549926,2008
6,282598,267034,549632,2008
