Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale,Anno
80,11444,159269,4940,26291,67,2,8,202021,16187,114632,8193,123629,8,1,0,262650,464671,2024
81,11064,148476,4582,27400,81,0,5,191608,15682,102413,7551,129226,14,0,1,254887,446495,2024
82,10423,139525,4007,28909,66,1,2,182933,15546,92302,6746,135529,7,0,2,250132,433065,2024
83,10427,141420,3788,33147,44,0,3,188829,16369,88311,6470,154512,9,2,2,265675,454504,2024
84,9207,128400,3057,33355,34,1,3,174057,15456,74943,5543,154590,9,0,2,250543,424600,2024
85,7754,111290,2594,32652,27,0,1,154318,14357,60999,4797,151410,5,0,0,231568,385886,2024
86,6504,90502,2002,30280,21,0,1,129310,12784,45722,3753,139128,4,0,0,201391,330701,2024
87,5171,72137,1484,27771,17,0,0,106580,11333,34005,3086,127370,1,0,0,175795,282375,2024
88,4649,62201,1249,27062,13,0,1,95175,10732,27097,2606,123964,0,0,1,164400,259575,2024
89,3854,49288,966,24479,15,0,0,78602,9682,19683,2055,113013,0,0,0,144433,223035,2024
90,2916,38152,661,21480,8,0,1,63218,8448,13989,1695,99311,1,0,0,123444,186662,2024
91,2338,28268,445,18488,3,1,0,49543,7409,9854,1298,86493,0,0,0,105054,154597,2024
92,1783,21188,329,15918,6,0,0,39224,6530,6779,1053,74447,1,0,1,88811,128035,2024
93,1409,15537,257,13492,5,0,1,30701,5746,4745,861,65417,0,0,0,76769,107470,2024
94,976,9851,158,9869,0,0,0,20854,4461,2792,607,48621,0,0,1,56482,77336,2024
95,678,6312,105,7325,1,0,0,14421,3517,1808,412,37284,1,0,0,43022,57443,2024
96,443,3977,61,5451,1,0,0,9933,2623,1085,306,28089,1,0,0,32104,42037,2024
97,290,2241,39,3770,0,0,0,6340,1935,642,211,20243,0,0,0,23031,29371,2024
98,190,1300,26,2434,0,0,0,3950,1459,435,165,14205,0,0,0,16264,20214,2024
99,145,752,29,1732,1,0,0,2659,1051,315,95,9719,0,0,0,11180,13839,2024
100,268,902,26,2404,0,0,0,3600,1687,471,141,15312,0,0,0,17611,21211,2024
