Età,Sesso,Anno,Totale
57,Femmine,2004,403026.0
58,Maschi,2004,300793.0
58,Femmine,2004,316320.0
59,Maschi,2004,308524.0
59,Femmine,2004,326114.0
6,Maschi,2004,269528.0
6,Femmine,2004,254912.0
60,Maschi,2004,311934.0
60,Femmine,2004,333825.0
61,Maschi,2004,310251.0
61,Femmine,2004,335319.0
62,Maschi,2004,312485.0
62,Femmine,2004,340670.0
63,Maschi,2004,343399.0
63,Femmine,2004,377030.0
64,Maschi,2004,338754.0
64,Femmine,2004,371531.0
65,Maschi,2004,327434.0
65,Femmine,2004,362478.0
66,Maschi,2004,301424.0
66,Femmine,2004,337787.0
67,Maschi,2004,284153.0
67,Femmine,2004,325670.0
68,Maschi,2004,289320.0
68,Femmine,2004,334836.0
69,Maschi,2004,277868.0
69,Femmine,2004,327241.0
7,Maschi,2004,272244.0
7,Femmine,2004,257186.0
70,Maschi,2004,268910.0
70,Femmine,2004,321349.0
71,Maschi,2004,255734.0
71,Femmine,2004,315206.0
72,Maschi,2004,252750.0
72,Femmine,2004,318217.0
73,Maschi,2004,254691.0
73,Femmine,2004,329365.0
74,Maschi,2004,226546.0
74,Femmine,2004,299420.0
75,Maschi,2004,215526.0
75,Femmine,2004,293746.0
76,Maschi,2004,205374.0
76,Femmine,2004,286665.0
77,Maschi,2004,189198.0
77,Femmine,2004,276807.0
78,Maschi,2004,176881.0
78,Femmine,2004,268535.0
79,Maschi,2004,163588.0
79,Femmine,2004,256538.0
8,Maschi,2004,271960.0
8,Femmine,2004,256652.0
80,Maschi,2004,148236.0
80,Femmine,2004,248691.0
81,Maschi,2004,133013.0
81,Femmine,2004,237164.0
82,Maschi,2004,118645.0
82,Femmine,2004,223016.0
83,Maschi,2004,103118.0
83,Femmine,2004,207775.0
84,Maschi,2004,63598.0
84,Femmine,2004,124334.0
85,Maschi,2004,43065.0
85,Femmine,2004,87596.0
86,Maschi,2004,39566.0
86,Femmine,2004,83029.0
87,Maschi,2004,42904.0
87,Femmine,2004,93491.0
88,Maschi,2004,46042.0
88,Femmine,2004,103055.0
89,Maschi,2004,39049.0
89,Femmine,2004,88777.0
9,Maschi,2004,273769.0
9,Femmine,2004,258991.0
90,Maschi,2004,32661.0
90,Femmine,2004,77057.0
91,Maschi,2004,25684.0
91,Femmine,2004,66372.0
92,Maschi,2004,18343.0
92,Femmine,2004,51390.0
93,Maschi,2004,14038.0
93,Femmine,2004,40661.0
94,Maschi,2004,8989.0
94,Femmine,2004,28824.0
95,Maschi,2004,5973.0
95,Femmine,2004,20981.0
96,Maschi,2004,3605.0
96,Femmine,2004,13889.0
97,Maschi,2004,2461.0
97,Femmine,2004,9519.0
98,Maschi,2004,1531.0
98,Femmine,2004,6370.0
99,Maschi,2004,891.0
99,Femmine,2004,4080.0
0,Maschi,2005,286668.0
0,Femmine,2005,271832.0
1,Maschi,2005,280318.0
1,Femmine,2005,265278.0
10,Maschi,2005,276572.0
10,Femmine,2005,261384.0
11,Maschi,2005,283426.0
11,Femmine,2005,268196.0
12,Maschi,2005,294367.0
12,Femmine,2005,279228.0
13,Maschi,2005,295477.0
13,Femmine,2005,279174.0
14,Maschi,2005,297175.0
14,Femmine,2005,281817.0
15,Maschi,2005,292249.0
15,Femmine,2005,277460.0
16,Maschi,2005,295661.0
16,Femmine,2005,278906.0
17,Maschi,2005,285199.0
17,Femmine,2005,269013.0
18,Maschi,2005,290868.0
18,Femmine,2005,275284.0
19,Maschi,2005,299618.0
19,Femmine,2005,285877.0
2,Maschi,2005,277714.0
2,Femmine,2005,263146.0
20,Maschi,2005,305238.0
20,Femmine,2005,290718.0
21,Maschi,2005,313582.0
21,Femmine,2005,298673.0
22,Maschi,2005,325576.0
22,Femmine,2005,313648.0
23,Maschi,2005,330791.0
23,Femmine,2005,320757.0
24,Maschi,2005,340859.0
24,Femmine,2005,330586.0
25,Maschi,2005,354414.0
25,Femmine,2005,345460.0
26,Maschi,2005,375540.0
26,Femmine,2005,366759.0
27,Maschi,2005,390856.0
27,Femmine,2005,383265.0
28,Maschi,2005,412893.0
28,Femmine,2005,407051.0
29,Maschi,2005,437439.0
29,Femmine,2005,431387.0
3,Maschi,2005,274944.0
3,Femmine,2005,260601.0
30,Maschi,2005,458047.0
30,Femmine,2005,450310.0
31,Maschi,2005,457801.0
31,Femmine,2005,450376.0
32,Maschi,2005,463228.0
32,Femmine,2005,453289.0
33,Maschi,2005,468201.0
33,Femmine,2005,460369.0
34,Maschi,2005,460899.0
34,Femmine,2005,457946.0
35,Maschi,2005,474151.0
35,Femmine,2005,473035.0
36,Maschi,2005,470096.0
36,Femmine,2005,467856.0
37,Maschi,2005,473727.0
37,Femmine,2005,470176.0
38,Maschi,2005,486243.0
38,Femmine,2005,482275.0
39,Maschi,2005,485593.0
39,Femmine,2005,482353.0
4,Maschi,2005,279102.0
4,Femmine,2005,263227.0
40,Maschi,2005,490976.0
40,Femmine,2005,488695.0
41,Maschi,2005,460659.0
41,Femmine,2005,462906.0
42,Maschi,2005,445520.0
42,Femmine,2005,449790.0
43,Maschi,2005,438022.0
43,Femmine,2005,443048.0
44,Maschi,2005,423870.0
44,Femmine,2005,430326.0
45,Maschi,2005,414488.0
45,Femmine,2005,419149.0
46,Maschi,2005,395662.0
46,Femmine,2005,402090.0
47,Maschi,2005,391635.0
47,Femmine,2005,398808.0
48,Maschi,2005,386663.0
48,Femmine,2005,395331.0
49,Maschi,2005,380393.0
49,Femmine,2005,390794.0
5,Maschi,2005,276032.0
5,Femmine,2005,261655.0
50,Maschi,2005,375107.0
50,Femmine,2005,387726.0
51,Maschi,2005,360983.0
51,Femmine,2005,370766.0
52,Maschi,2005,357060.0
52,Femmine,2005,370502.0
53,Maschi,2005,356991.0
53,Femmine,2005,372136.0
54,Maschi,2005,371915.0
54,Femmine,2005,387512.0
55,Maschi,2005,374437.0
55,Femmine,2005,388683.0
56,Maschi,2005,391557.0
56,Femmine,2005,407521.0
57,Maschi,2005,383681.0
57,Femmine,2005,399049.0
58,Maschi,2005,384503.0
58,Femmine,2005,403179.0
59,Maschi,2005,299134.0
59,Femmine,2005,315927.0
6,Maschi,2005,273850.0
6,Femmine,2005,257911.0
60,Maschi,2005,306795.0
60,Femmine,2005,325806.0
