Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
43,Femmine,355716.97,344420.17,330487.21,313938.53,298437.21,287140.42,273207.45,256658.78,241157.45,229860.66
43,Maschi,355289.23,343258.83,329637.35,314437.42,296993.06,284962.67,271341.19,256141.25,238696.9,226666.5
44,Femmine,363842.24,347590.43,331591.29,315809.88,292679.01,276427.2,260428.05,244646.64,221515.77,205263.96
44,Maschi,363516.5,348183.48,332769.48,317251.04,295119.76,279786.73,264372.73,248854.29,226723.01,211389.99
45,Femmine,398288.9,379188.58,363130.54,350081.5,342251.34,323151.01,307092.97,294043.93,286213.77,267113.45
45,Maschi,384979.6,360816.45,343555.41,333204.35,313086.33,288923.18,271662.14,261311.07,241193.06,217029.91
46,Femmine,402107.43,385614.36,368886.53,351931.63,332965.2,316472.13,299744.3,282789.4,263822.98,247329.91
46,Maschi,399233.1,383552.26,367209.52,350210.24,332176.52,316495.68,300152.94,283153.66,265119.94,249439.1
47,Femmine,429099.45,414513.26,399434.68,383859.23,372157.17,357570.99,342492.41,326916.95,315214.89,300628.71
47,Maschi,423596.63,409151.21,394314.04,379084.0,366359.39,351913.97,337076.8,321846.76,309122.15,294676.73
48,Femmine,460782.96,458609.1,454232.64,447656.47,444588.85,442414.99,438038.53,431462.36,428394.75,426220.89
48,Maschi,456842.13,455978.75,452005.19,444922.59,443997.21,443133.84,439160.27,432077.68,431152.3,430288.93
49,Femmine,475989.89,475034.39,473971.85,472798.08,473512.79,472557.29,471494.75,470320.99,471035.69,470080.2
49,Maschi,464349.67,463760.14,462517.87,460621.23,456944.79,456355.27,455112.99,453216.36,449539.91,448950.39
50,Femmine,467795.71,467039.61,464809.51,461108.21,453523.44,452767.35,450537.25,446835.94,439251.18,438495.08
50,Maschi,460531.06,459998.78,458435.21,455837.58,448991.3,448459.02,446895.45,444297.82,437451.54,436919.26
51,Femmine,476585.92,467760.13,464954.67,468169.09,462715.14,453889.35,451083.89,454298.31,448844.36,440018.57
51,Maschi,469924.65,460997.99,458720.89,463095.4,459749.37,450822.71,448545.61,452920.12,449574.1,440647.44
52,Femmine,482169.83,478142.52,474811.42,472181.69,472074.31,468047.01,464715.91,462086.18,461978.8,457951.5
52,Maschi,471579.91,469274.97,465968.05,461664.34,463569.31,461264.38,457957.46,453653.75,455558.72,453253.79
53,Femmine,475961.92,479035.09,476333.1,467854.78,462738.91,465812.08,463110.09,454631.77,449515.9,452589.07
53,Maschi,462152.3,467515.69,465743.76,456835.63,450193.7,455557.1,453785.17,444877.03,438235.11,443598.51
54,Femmine,484070.41,485469.63,486196.73,486239.78,478281.03,479680.24,480407.34,480450.39,472491.64,473890.85
54,Maschi,470779.85,473011.78,474343.61,474765.29,466780.4,469012.33,470344.16,470765.84,462780.95,465012.88
