Età,Sesso,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
34,Maschi,302561.05,292553.68,284873.15,279518.17,268936.9,258929.53,251249.0,245894.03,235312.75,225305.38,217624.85,212269.88,201688.6,191681.24,184000.7,178645.73
35,Femmine,311647.98,303742.63,297332.32,292419.81,286520.27,278614.93,272204.62,267292.1,261392.56,253487.22,247076.91,242164.4,236264.86,228359.51,221949.2,217036.69
35,Maschi,320374.71,314194.9,309052.05,304949.33,299482.97,293303.16,288160.31,284057.59,278591.23,272411.42,267268.57,263165.85,257699.48,251519.68,246376.83,242274.1
36,Femmine,310950.68,304785.75,297874.1,290217.53,281877.54,275712.6,268800.95,261144.39,252804.39,246639.46,239727.81,232071.24,223731.25,217566.32,210654.66,202998.1
36,Maschi,318442.88,313064.21,307153.33,300707.03,292931.21,287552.54,281641.66,275195.36,267419.54,262040.88,256129.99,249683.69,241907.87,236529.21,230618.32,224172.02
37,Femmine,316975.11,309431.67,302496.12,296164.49,286570.21,279026.77,272091.22,265759.59,256165.31,248621.86,241686.32,235354.69,225760.41,218216.96,211281.41,204949.79
37,Maschi,323476.56,316202.89,310059.05,305048.03,296164.48,288890.81,282746.97,277735.95,268852.4,261578.73,255434.89,250423.87,241540.32,234266.65,228122.81,223111.79
38,Femmine,312321.92,296276.77,284323.03,276458.23,263075.81,247030.65,235076.91,227212.12,213829.69,197784.53,185830.8,177966.0,164583.57,148538.41,136584.68,128719.88
38,Maschi,317701.29,302131.34,290471.03,282717.69,270799.59,255229.64,243569.33,235815.99,223897.88,208327.93,196667.62,188914.28,176996.18,161426.23,149765.91,142012.58
39,Femmine,319241.7,304456.6,292132.35,282268.73,267686.57,252901.48,240577.23,230713.61,216131.45,201346.36,189022.11,179158.49,164576.33,149791.24,137466.99,127603.37
39,Maschi,325217.24,310108.8,298518.47,290446.27,276752.76,261644.32,250053.99,241981.79,228288.28,213179.85,201589.52,193517.32,179823.81,164715.37,153125.04,145052.84
40,Femmine,327578.5,312442.72,298915.1,286994.33,273250.83,258115.05,244587.43,232666.66,218923.16,203787.39,190259.76,178339.0,164595.5,149459.72,135932.09,124011.33
40,Maschi,332559.99,317955.54,304501.45,292197.31,280999.29,266394.83,252940.75,240636.6,229438.58,214834.13,201380.04,189075.9,177877.88,163273.42,149819.34,137515.19
41,Femmine,332217.32,318432.44,304624.41,290792.92,273000.29,259215.4,245407.37,231575.88,213783.25,199998.36,186190.34,172358.84,154566.21,140781.32,126973.3,113141.8
41,Maschi,335345.06,322883.04,310074.26,296919.63,279497.35,267035.32,254226.55,241071.92,223649.64,211187.61,198378.83,185224.2,167801.92,155339.89,142531.12,129376.49
