"Popolazione residente per età, sesso e stato civile al 1° gennaio 2024"
"Codice regione";"Regione";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"04";"Trentino-Alto Adige/Südtirol";3;4820;0;0;0;0;0;0;4820;4569;0;0;0;0;0;0;4569;9389
"04";"Trentino-Alto Adige/Südtirol";4;5064;0;0;0;0;0;0;5064;4624;0;0;0;0;0;0;4624;9688
"04";"Trentino-Alto Adige/Südtirol";5;5074;0;0;0;0;0;0;5074;4808;0;0;0;0;0;0;4808;9882
"04";"Trentino-Alto Adige/Südtirol";6;5228;0;0;0;0;0;0;5228;4946;0;0;0;0;0;0;4946;10174
"04";"Trentino-Alto Adige/Südtirol";7;5304;0;0;0;0;0;0;5304;5120;0;0;0;0;0;0;5120;10424
"04";"Trentino-Alto Adige/Südtirol";8;5391;0;0;0;0;0;0;5391;5129;0;0;0;0;0;0;5129;10520
"04";"Trentino-Alto Adige/Südtirol";9;5528;0;0;0;0;0;0;5528;5237;0;0;0;0;0;0;5237;10765
"04";"Trentino-Alto Adige/Südtirol";10;5597;0;0;0;0;0;0;5597;5171;0;0;0;0;0;0;5171;10768
"04";"Trentino-Alto Adige/Südtirol";11;5731;0;0;0;0;0;0;5731;5351;0;0;0;0;0;0;5351;11082
"04";"Trentino-Alto Adige/Südtirol";12;5670;0;0;0;0;0;0;5670;5430;0;0;0;0;0;0;5430;11100
"04";"Trentino-Alto Adige/Südtirol";13;5838;0;0;0;0;0;0;5838;5418;0;0;0;0;0;0;5418;11256
"04";"Trentino-Alto Adige/Südtirol";14;5820;0;0;0;0;0;0;5820;5438;0;0;0;0;0;0;5438;11258
"04";"Trentino-Alto Adige/Südtirol";15;5892;0;0;0;0;0;0;5892;5576;0;0;0;0;0;0;5576;11468
"04";"Trentino-Alto Adige/Südtirol";16;5917;0;0;0;0;0;0;5917;5434;0;0;0;0;0;0;5434;11351
"04";"Trentino-Alto Adige/Südtirol";17;5911;1;0;0;0;0;0;5912;5495;0;0;0;0;0;0;5495;11407
"04";"Trentino-Alto Adige/Südtirol";18;6145;0;0;0;0;0;0;6145;5489;5;0;0;0;0;0;5494;11639
"04";"Trentino-Alto Adige/Südtirol";19;6159;1;0;0;0;0;0;6160;5626;25;0;0;0;0;0;5651;11811
"04";"Trentino-Alto Adige/Südtirol";20;6027;3;0;0;0;0;0;6030;5461;55;0;0;0;0;0;5516;11546
"04";"Trentino-Alto Adige/Südtirol";21;5960;14;0;0;0;0;0;5974;5372;79;1;0;0;0;0;5452;11426
"04";"Trentino-Alto Adige/Südtirol";22;6193;33;6;0;0;0;0;6232;5432;149;4;0;0;0;0;5585;11817
"04";"Trentino-Alto Adige/Südtirol";23;6180;60;4;0;0;0;0;6244;5548;244;8;0;2;0;0;5802;12046
"04";"Trentino-Alto Adige/Südtirol";24;6161;93;5;0;0;0;0;6259;5433;327;5;0;2;0;0;5767;12026
"04";"Trentino-Alto Adige/Südtirol";25;6177;179;4;0;0;0;0;6360;5371;497;18;0;0;0;0;5886;12246
"04";"Trentino-Alto Adige/Südtirol";26;6124;269;10;0;2;0;0;6405;5098;656;10;0;2;0;0;5766;12171
"04";"Trentino-Alto Adige/Südtirol";27;5934;426;5;0;6;0;0;6371;4866;899;19;4;0;0;0;5788;12159
"04";"Trentino-Alto Adige/Südtirol";28;5620;558;8;0;3;0;0;6189;4479;1114;28;1;6;0;0;5628;11817
"04";"Trentino-Alto Adige/Südtirol";29;5509;703;29;1;7;0;0;6249;4335;1414;26;0;5;0;0;5780;12029
"04";"Trentino-Alto Adige/Südtirol";30;5264;945;25;1;5;0;0;6240;4060;1687;46;2;6;0;0;5801;12041
"04";"Trentino-Alto Adige/Südtirol";31;5190;1226;24;0;7;0;0;6447;3854;2048;65;3;15;1;0;5986;12433
"04";"Trentino-Alto Adige/Südtirol";32;4891;1469;47;4;8;0;0;6419;3648;2280;73;12;7;1;0;6021;12440
"04";"Trentino-Alto Adige/Südtirol";33;4782;1685;44;5;11;0;0;6527;3364;2514;91;7;15;0;0;5991;12518
"04";"Trentino-Alto Adige/Südtirol";34;4265;1970;69;3;6;0;0;6313;3187;2711;110;9;13;1;0;6031;12344
"04";"Trentino-Alto Adige/Südtirol";35;4106;2193;74;7;10;2;1;6393;3076;2913;126;8;14;1;0;6138;12531
"04";"Trentino-Alto Adige/Südtirol";36;3729;2351;69;7;11;1;0;6168;2864;2975;147;15;10;0;0;6011;12179
"04";"Trentino-Alto Adige/Südtirol";37;3549;2540;108;3;14;0;0;6214;2571;3172;185;33;14;1;0;5976;12190
"04";"Trentino-Alto Adige/Südtirol";38;3497;2706;108;5;10;2;0;6328;2532;3377;223;28;12;1;0;6173;12501
"04";"Trentino-Alto Adige/Südtirol";39;3319;2909;114;6;13;0;0;6361;2395;3447;248;29;9;2;0;6130;12491
"04";"Trentino-Alto Adige/Südtirol";40;3189;3120;143;6;12;1;0;6471;2422;3677;254;31;6;0;0;6390;12861
"04";"Trentino-Alto Adige/Südtirol";41;3086;3413;155;7;9;1;0;6671;2331;3941;295;36;5;1;0;6609;13280
"04";"Trentino-Alto Adige/Südtirol";42;2961;3492;183;23;6;0;0;6665;2220;3904;332;56;7;0;0;6519;13184
"04";"Trentino-Alto Adige/Südtirol";43;2909;3557;199;22;8;2;0;6697;2091;4144;360;76;9;1;0;6681;13378
"04";"Trentino-Alto Adige/Südtirol";44;2777;3549;191;13;11;0;0;6541;2055;4238;406;64;4;0;0;6767;13308
"04";"Trentino-Alto Adige/Südtirol";45;2843;3867;248;15;8;0;0;6981;2131;4464;431;79;6;0;0;7111;14092
"04";"Trentino-Alto Adige/Südtirol";46;2741;3996;327;18;7;0;0;7089;2047;4458;514;97;5;1;0;7122;14211
"04";"Trentino-Alto Adige/Südtirol";47;2650;4210;337;25;12;1;0;7235;2146;4687;584;85;4;1;0;7507;14742
"04";"Trentino-Alto Adige/Südtirol";48;2740;4477;373;23;9;1;0;7623;2061;5067;636;108;6;1;0;7879;15502
"04";"Trentino-Alto Adige/Südtirol";49;2865;4835;447;30;27;0;0;8204;2090;5254;662;154;6;0;0;8166;16370
"04";"Trentino-Alto Adige/Südtirol";50;2657;4763;574;40;15;0;0;8049;1993;5413;758;150;9;2;0;8325;16374
"04";"Trentino-Alto Adige/Südtirol";51;2623;5063;529;43;11;1;0;8270;1962;5485;753;143;5;1;0;8349;16619
"04";"Trentino-Alto Adige/Südtirol";52;2652;5215;584;51;12;0;0;8514;1830;5714;859;217;6;1;0;8627;17141
"04";"Trentino-Alto Adige/Südtirol";53;2371;5212;622;49;12;0;0;8266;1744;5565;921;208;4;0;0;8442;16708
"04";"Trentino-Alto Adige/Südtirol";54;2526;5681;675;63;13;0;0;8958;1761;5759;927;259;5;1;0;8712;17670
"04";"Trentino-Alto Adige/Südtirol";55;2300;5682;660;64;20;1;1;8728;1617;5822;972;258;5;1;0;8675;17403
"04";"Trentino-Alto Adige/Südtirol";56;2134;5596;760;71;6;0;1;8568;1566;5915;960;324;9;0;0;8774;17342
"04";"Trentino-Alto Adige/Südtirol";57;2170;5820;723;48;11;0;0;8772;1446;6037;965;351;3;0;0;8802;17574
"04";"Trentino-Alto Adige/Südtirol";58;1987;6102;798;84;11;0;0;8982;1478;5902;983;365;4;0;0;8732;17714
"04";"Trentino-Alto Adige/Südtirol";59;1792;6088;809;122;12;0;1;8824;1227;6089;973;468;4;1;0;8762;17586
"04";"Trentino-Alto Adige/Südtirol";60;1556;5812;756;119;11;0;0;8254;1172;5781;827;465;2;0;0;8247;16501
"04";"Trentino-Alto Adige/Südtirol";61;1357;5504;686;122;8;0;0;7677;1062;5484;829;529;0;0;0;7904;15581
"04";"Trentino-Alto Adige/Südtirol";62;1289;5413;691;153;6;0;0;7552;1052;5396;817;586;4;0;0;7855;15407
"04";"Trentino-Alto Adige/Südtirol";63;1209;5305;694;140;9;0;1;7358;905;5170;713;606;4;0;0;7398;14756
"04";"Trentino-Alto Adige/Südtirol";64;1011;5328;605;145;4;0;0;7093;822;5002;639;642;3;0;0;7108;14201
"04";"Trentino-Alto Adige/Südtirol";65;952;4837;525;167;4;0;0;6485;805;4590;583;761;3;0;0;6742;13227
"04";"Trentino-Alto Adige/Südtirol";66;869;4675;469;170;3;0;0;6186;748;4650;579;780;3;0;0;6760;12946
"04";"Trentino-Alto Adige/Südtirol";67;852;4665;437;181;7;0;0;6142;620;4322;511;879;1;0;1;6334;12476
"04";"Trentino-Alto Adige/Südtirol";68;757;4460;420;176;3;0;0;5816;633;4148;449;857;3;0;0;6090;11906
"04";"Trentino-Alto Adige/Südtirol";69;699;4268;380;196;3;0;0;5546;548;3906;441;965;3;0;0;5863;11409
"04";"Trentino-Alto Adige/Südtirol";70;668;4156;334;215;3;0;0;5376;556;3775;415;1022;0;0;0;5768;11144
