id,Età,Celibi,Coniugati,Divorziati,Vedovi,Uniti civilmente,Maschi già in unione civile (per scioglimento unione),Maschi già in unione civile (per decesso del partner),Totale maschi,Nubili,Coniugate,Divorziate,Vedove,Unite civilmente,Femmine già in unione civile (per scioglimento unione),Femmine già in unione civile (per decesso del partner),Totale femmine,Totale
26,27,11310,422,13,0,9,1,0,11755,9437,1083,37,2,10,0,0,10569,22324
26,28,10993,702,14,0,11,0,0,11720,8991,1399,32,7,6,0,0,10435,22155
26,29,10905,940,18,1,10,2,0,11876,8623,1902,65,12,21,0,0,10623,22499
26,30,10306,1318,42,0,19,2,0,11687,8534,2389,74,3,23,2,0,11025,22712
26,31,10336,1778,53,1,18,2,0,12188,8031,3099,99,6,21,4,0,11260,23448
26,32,9764,2245,71,2,18,0,0,12100,7743,3655,127,12,26,0,0,11563,23663
26,33,9599,2932,82,1,17,0,0,12631,7272,4206,218,13,33,4,0,11746,24377
26,34,8667,3266,111,11,25,1,0,12081,6806,4542,222,13,24,4,0,11611,23692
26,35,8326,3895,161,12,46,3,0,12443,6410,5100,270,28,27,2,0,11837,24280
26,36,7537,4154,173,7,37,2,0,11910,5839,5469,324,34,39,0,0,11705,23615
26,37,7277,4556,225,11,29,2,0,12100,5447,5782,402,42,22,1,0,11696,23796
26,38,6980,4940,258,10,30,1,0,12219,5328,6322,486,63,31,1,0,12231,24450
26,39,6619,5253,288,13,26,1,0,12200,5122,6456,587,52,31,4,0,12252,24452
26,40,6371,5698,353,12,33,0,0,12467,4882,6970,596,67,34,1,0,12550,25017
26,41,6246,6284,409,8,22,2,0,12971,4836,7404,710,65,22,2,0,13039,26010
26,42,5915,6393,495,38,25,0,0,12866,4635,7512,791,116,25,0,0,13079,25945
26,43,5765,6724,528,25,30,2,0,13074,4505,7793,897,131,21,1,0,13348,26422
26,44,5816,7143,554,41,28,1,1,13584,4294,8276,1012,135,18,1,0,13736,27320
26,45,5922,7556,680,56,26,1,1,14242,4543,8855,1144,148,26,1,0,14717,28959
